,Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
309,309,premium grilled chicken club sandwich mcdonalds,493,18,6.4,5.6,4.8,44.3,6.4,38.3,2.7,102.6,1,117.1,0,0.4,0,0,0.4,12.4,1.8,0,9.8,0,0,0,211.9,0,3.1,0,0,0,0,0,0,328.1
311,311,premium crispy chicken classic sandwich mcdonalds,524,20,3.2,7.3,8.5,58.6,12.4,27.8,3.2,59.8,1,119.6,0,0.5,0.1,0,0.4,12.7,2.4,0,5.8,0,0,0,78.2,0.2,3.3,62.1,1,370.3,522.1,0,1.5,196.9
314,314,beef sandwich steak raw,173,15.1,6.5,6.2,0.3,0,0,9.2,0,39.8,0.043,31.4,0,0.066,0.076,0.041,0.065,2.6,0.2,0.1,0,0.077,0.1,0.046,6.7,0.068,1,9,0.092,74.5,130.5,0.078,2,32
316,316,premium grilled chicken ranch blt sandwich mcdonalds,412,10.9,3,3.8,3.4,44.3,10.5,33.7,2.8,76.8,1,108.3,0,0.4,0,0,0.4,12.5,1.8,0,9.9,0,0,0,76.8,0,3,0,0,0,0,0,0,181.4
319,319,sandwich with cold cuts,833,39.3,13.9,14.5,7.5,79.9,12.4,41.1,4.7,105.6,2.2,221,0.5,0.004,1.3,0.4,0.051,1,16.9,1.5,0.8,29.3,0.012,1.6,0.023,668.6,0.5,7.1,78.2,0.9,437.9,1102.6,0.065,166.871
322,322,grilled chicken sandwich wendys,370,8,42,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
323,323,sandwich with roast beef,410,13,7.1,1.8,2.6,44.3,0,28.6,0,73.4,0.8,127.4,0.03,0.4,0.053,0.015,0.4,6,0.8,0.3,5.6,0,0,0,41,0.4,2.8,67,0.4,192.2,330.5,0.073,4.4,135.393
326,326,roast beef sandwich,364,15.3,5.1,5.9,2.6,33.1,5.7,22.6,1.9,44.7,1,74.4,0.6,0.035,0.3,0.015,0.012,0.4,6.5,0.9,0.3,0,0,0.6,0.039,82,0.1,3.9,34.3,0.1,298,333.8,0.055,73.951
327,327,roast beef sandwich with cheese,473,18,9,3.7,3.5,45.4,0,32.2,0,77.4,1.6,76.6,0.082,0.4,0.065,0.063,0.5,5.9,0.7,0.3,0,0,0,0,183,0.2,5.1,40.5,0.3,401.3,345,0.021,5.4,283.72
329,329,premium fish sandwich burger king,572,27.4,4.3,5.7,13.8,58.7,7.8,22.6,2,68.2,1.3,106.6,0,0.4,0,0,0.4,4.6,0.4,0.054,0.4,0,0,0.014,81.4,0.2,3.3,55,0.6,255.2,453.2,0.08,1.1,195.8
331,331,sandwich with tuna salad,584,28,5.3,13.4,7.3,55.4,0,29.7,0,48.6,1.3,139,0.004,0.5,0.1,0.076,0.3,11.3,1.9,0.2,3.6,0,0,0,74.2,0.4,2.6,79.4,0.5,220.2,335.4,0.019,1.9,193.569
369,369,fish sandwich with cheese,374,19.6,3.8,5.4,8,35.4,4.9,15.1,0,49.6,0.6,61.3,0,0.3,0,0.007,0.3,3.1,0.3,0.044,2,0,0,0,160.8,0.092,2.1,36.2,0.4,183.6,294.8,0,0.8,235
378,378,fish sandwich,565,27.4,4.3,5.7,13.8,58.7,7.8,22.6,0,77,1.3,106.6,0.2,0,0.5,0,0,0.3,4.7,0.8,0.2,4,0,0,0,81.4,0.2,3.3,55,0.6,255.2,453.2,0.1,109.3
