,restaurant,food_name,calories_kcal,total_fat_g,saturated_fat_g,cholesterol_mg,sodium_g,total_carb,fiber_g,sugar_g,protein_g,vitamin_A_mg,vitamin_C_mg,calcium_mg
352,Subway,"6"" Tuna",470,24,4.0,30,620,44,5.0,6,20.0,8.0,20.0,30.0
353,Subway,Footlong Tuna,940,48,8.0,60,1240,88,10.0,12,40.0,16.0,40.0,60.0
354,Subway,"6"" Turkey & Bacon Avocado",390,13,3.5,30,860,49,8.0,7,22.0,10.0,200.0,30.0
355,Subway,Footlong Turkey & Bacon Avocado,780,26,7.0,60,1720,98,16.0,14,44.0,20.0,400.0,60.0
356,Subway,Kids Mini Sub Turkey Breast,180,2,0.5,10,380,30,3.0,5,10.0,6.0,15.0,20.0
357,Subway,"6"" Turkey Breast",280,4,1.0,20,810,46,5.0,7,18.0,8.0,20.0,30.0
358,Subway,Footlong Turkey Breast,560,8,2.0,40,1620,92,10.0,14,36.0,16.0,40.0,60.0
359,Subway,"6"" Turkey Breast & Ham",280,4,1.0,20,820,46,5.0,8,18.0,8.0,20.0,30.0
360,Subway,Footlong Turkey Breast & Ham,560,8,2.0,40,1640,92,10.0,16,36.0,16.0,40.0,60.0
361,Subway,"6"" Turkey Italiano Melt (with Provolone)",490,24,9.0,50,1480,47,5.0,8,24.0,10.0,20.0,45.0
362,Subway,Footlong Turkey Italiano Melt (with Provolone),980,48,18.0,100,2960,94,10.0,16,48.0,20.0,40.0,90.0
363,Subway,Kids Mini Sub Veggie Delite,150,2,0.0,0,190,29,3.0,4,6.0,6.0,15.0,20.0
364,Subway,"6"" Veggie Delite",230,3,1.0,0,310,44,5.0,6,8.0,8.0,20.0,30.0
365,Subway,Footlong Veggie Delite,460,6,2.0,0,620,88,10.0,12,16.0,16.0,40.0,60.0
366,Subway,"6"" Veggie Patty",390,7,1.0,10,800,56,8.0,8,23.0,15.0,20.0,35.0
367,Subway,Footlong Veggie Patty,780,14,2.0,20,1600,112,16.0,16,46.0,30.0,20.0,70.0
368,Subway,Autumn Carved Turkey Salad,300,9,3.0,60,1120,26,3.0,22,25.0,40.0,40.0,15.0
369,Subway,B.L.T. Salad,150,8,4.0,20,420,10,4.0,5,10.0,50.0,50.0,6.0
370,Subway,Big Hot Pastrami Melt Salad,400,29,11.0,85,1250,12,4.0,4,23.0,25.0,70.0,10.0
371,Subway,Big Philly Cheesesteak Salad,330,16,8.0,85,1080,17,5.0,6,32.0,60.0,50.0,25.0
372,Subway,Black Forest Ham Salad,110,3,1.0,20,590,11,4.0,6,12.0,25.0,45.0,4.0
373,Subway,Buffalo Chicken Salad (with Ranch dressing),360,26,4.0,60,1100,13,4.0,6,20.0,50.0,60.0,8.0
374,Subway,Carved Turkey & Bacon w/ Cheese Salad,280,12,4.5,65,1320,11,4.0,5,28.0,50.0,50.0,15.0
375,Subway,Carved Turkey Salad,150,4,0.0,45,680,8,3.0,3,19.0,40.0,40.0,6.0
376,Subway,Chicken & Bacon Ranch Melt Salad (includes Ranch dressing),510,38,12.0,100,1040,14,4.0,7,30.0,60.0,60.0,30.0
377,Subway,Cold Cut Combo Salad,180,11,4.0,45,820,12,4.0,5,12.0,50.0,50.0,10.0
378,Subway,Double Chicken Salad,220,5,1.5,100,490,10,4.0,4,36.0,50.0,60.0,8.0
379,Subway,Italian B.M.T.® Salad,230,15,6.0,45,1060,12,4.0,6,14.0,50.0,50.0,6.0
380,Subway,Italian Hero Salad,230,15,5.0,45,1060,13,4.0,8,14.0,40.0,60.0,4.0
381,Subway,Meatball Marinara Salad,310,17,7.0,30,720,25,6.0,10,16.0,60.0,70.0,10.0
382,Subway,Oven Roasted Chicken Salad,140,3,0.5,50,280,10,4.0,4,19.0,50.0,60.0,8.0
383,Subway,Roast Beef Salad,140,4,1.0,40,450,10,4.0,5,18.0,25.0,45.0,4.0
384,Subway,Spicy Italian Salad,310,23,9.0,50,1280,11,4.0,6,15.0,50.0,50.0,8.0
385,Subway,Steak & Cheese Salad,210,8,4.0,50,830,14,4.0,6,20.0,50.0,50.0,15.0
386,Subway,Subway Club Salad,140,4,1.0,40,640,11,4.0,5,17.0,25.0,45.0,6.0
387,Subway,Subway Melt® Salad,200,10,5.0,45,910,13,4.0,6,18.0,50.0,50.0,15.0
388,Subway,Sweet Onion Chicken Teriyaki Salad,200,3,1.0,50,660,24,4.0,16,20.0,25.0,50.0,6.0
389,Subway,Tuna Salad,310,24,4.0,40,370,10,4.0,4,15.0,50.0,50.0,6.0
390,Subway,Turkey Breast & Ham Salad,110,3,1.0,25,580,11,4.0,5,12.0,25.0,45.0,6.0
391,Subway,Turkey Breast Salad,110,2,1.0,20,570,11,4.0,5,12.0,25.0,45.0,6.0
392,Subway,Veggie Delite Salad,50,1,0.0,0,65,9,4.0,4,3.0,25.0,45.0,4.0
393,Subway,Chipotle Southwest Steak & Cheese Wrap,760,37,12.0,100,2250,65,4.0,7,43.0,15.0,45.0,30.0
394,Subway,Rotisserie-Style Chicken Caesar Wrap,730,34,10.0,135,1900,53,3.0,4,55.0,15.0,8.0,45.0
395,Subway,"Turkey, Bacon & Guacamole Wrap",810,42,13.0,75,2970,62,3.0,6,43.0,10.0,30.0,30.0
396,Subway,Cheese & Veggies Pizza,740,25,11.0,50,1270,100,5.0,9,36.0,35.0,30.0,60.0
397,Subway,Cheese Pizza,680,22,9.0,40,1070,96,4.0,7,32.0,25.0,4.0,45.0
398,Subway,Pepperoni Pizza,790,32,13.0,60,1350,96,4.0,8,38.0,30.0,4.0,60.0
399,Subway,Sausage Pizza,820,34,14.0,70,1420,97,4.0,8,39.0,30.0,4.0,60.0
415,Taco Bell,Chicken Crunchy Cheesy Core Burrito,610,24,9.0,55,1510,74,5.0,5,25.0,10.0,4.0,35.0
416,Taco Bell,Steak Crunchy Cheesy Core Burrito,610,24,9.0,50,1520,75,5.0,5,25.0,10.0,4.0,40.0
417,Taco Bell,Beef Crunchy Cheesy Core Burrito,630,26,10.0,45,1530,76,7.0,5,22.0,15.0,4.0,35.0
418,Taco Bell,Loaded Taco Burrito,550,29,9.0,50,1130,52,7.0,4,20.0,15.0,6.0,20.0
426,Taco Bell,Chicken Spicy Cheesy Core Burrito,540,20,8.0,55,1740,66,5.0,5,24.0,15.0,8.0,35.0
427,Taco Bell,Steak Spicy Cheesy Core Burrito,550,21,9.0,50,1750,66,5.0,5,24.0,10.0,6.0,35.0
428,Taco Bell,Beef Spicy Cheesy Core Burrito,570,23,10.0,45,1760,68,7.0,5,22.0,15.0,6.0,35.0
429,Taco Bell,Triple Melt Burrito,410,16,6.0,30,1030,50,4.0,3,15.0,6.0,2.0,20.0
441,Taco Bell,Spicy Sweet Double Stacked Taco,340,18,7.0,35,640,32,4.0,6,12.0,10.0,2.0,15.0
442,Taco Bell,Cool Ranch Habanero Double Stacked Taco,350,20,8.0,40,630,30,4.0,3,13.0,15.0,2.0,20.0
443,Taco Bell,Nacho Crunch Double Stacked Taco,380,19,6.0,35,650,39,5.0,2,13.0,8.0,2.0,20.0
457,Taco Bell,Double Chalupa,600,35,8.0,50,1010,50,6.0,5,21.0,15.0,4.0,15.0
458,Taco Bell,Wild Naked Chicken Chalupa,420,28,6.0,65,1070,23,4.0,2,19.0,6.0,4.0,6.0
459,Taco Bell,Mild Naked Chicken Chalupa,440,30,7.0,70,1090,22,3.0,1,20.0,6.0,4.0,6.0
460,Taco Bell,Spicy Double Chalupa,600,35,8.0,50,1240,52,7.0,5,21.0,15.0,8.0,15.0
472,Taco Bell,Double Cheesy Gordita Crunch,570,32,12.0,70,1110,44,7.0,5,25.0,15.0,2.0,30.0
476,Taco Bell,Nacho Fries Bellgrande,710,41,6.0,30,1420,73,10.0,4,13.0,10.0,4.0,8.0
480,Taco Bell,Triple Melt Nachos,260,16,4.5,30,550,19,3.0,1,10.0,6.0,0.0,10.0
491,Taco Bell,Chickstar,620,37,8.0,50,1290,53,4.0,4,17.0,8.0,6.0,15.0
494,Taco Bell,Crispy Chicken Quesadilla,650,37,13.0,75,1480,51,5.0,3,26.0,10.0,2.0,45.0
501,Taco Bell,Steak Quesalupa,440,23,10.0,60,840,36,3.0,3,22.0,15.0,6.0,35.0
502,Taco Bell,Chicken Quesalupa,440,23,10.0,60,840,37,3.0,3,22.0,15.0,8.0,35.0
503,Taco Bell,Beef Quesalupa,460,26,11.0,50,890,38,4.0,3,19.0,15.0,6.0,35.0
507,Taco Bell,Stacker,390,18,8.0,40,1050,39,4.0,3,18.0,8.0,2.0,30.0
509,Taco Bell,Original Triple Double Crunchwrap,700,30,9.0,45,1550,85,9.0,7,23.0,15.0,6.0,25.0
510,Taco Bell,Spicy Triple Double Crunchwrap,780,38,10.0,50,1850,87,9.0,8,23.0,20.0,10.0,25.0
